Name,Team,Games,Points
John Doe,Lakers,82,1450
Jane Smith,Bulls,75,1300
Mike Johnson,Lakers,80,1200
Emily Davis,Heat,78,1500
Chris Brown,Celtics,82,1600
Lisa White,Bulls,80,1400
Tom Clark,Heat,76,1300
Anna King,Lakers,82,1700
David Green,Celtics,81,1350
Sarah Lewis,Heat,82,1480
James Miller,Warriors,78,1750
Laura Martinez,Knicks,72,1100
Peter Hernandez,Nets,80,1450
Rachel Lopez,Heat,74,1320
Robert Gonzalez,Lakers,79,1580
Sophia Wilson,Bulls,77,1490
Michael Anderson,Knicks,81,1620
Emma Thomas,Warriors,82,1670
William Taylor,Spurs,80,1510
Olivia Moore,Mavericks,82,1550
Ethan Davis,Warriors,76,1400
Isabella Johnson,Knicks,70,1280
Alexander Miller,Celtics,80,1570
Mia Martinez,Heat,78,1440
Daniel Hernandez,Nets,75,1520
Sofia Lopez,Lakers,79,1600
Matthew Gonzalez,Bulls,80,1480
Charlotte Wilson,Heat,82,1470
Jackson Anderson,Knicks,82,1530
Amelia Thomas,Warriors,78,1540
Sebastian Taylor,Spurs,81,1590
Harper Moore,Mavericks,82,1600
Henry Brown,Celtics,79,1500
Evelyn Davis,Heat,76,1420
Aiden Johnson,Knicks,80,1390
Ella Martinez,Warriors,82,1610
Logan Hernandez,Nets,81,1620
Avery Lopez,Lakers,79,1580
Lucas Gonzalez,Bulls,75,1400
Scarlett Wilson,Heat,82,1510
Liam Anderson,Knicks,78,1450
Victoria Thomas,Warriors,82,1570
Mason Taylor,Spurs,80,1550
Sofia Moore,Mavericks,81,1620
Benjamin Brown,Celtics,79,1600
Isabella Davis,Heat,82,1450
Ethan Johnson,Knicks,80,1420
Emily Martinez,Warriors,78,1540
Michael Hernandez,Nets,81,1600
Ava Lopez,Lakers,79,1590
William Gonzalez,Bulls,75,1460
James Wilson,Heat,82,1530
Lucas Anderson,Knicks,80,1550
Amelia Thomas,Warriors,82,1570
Henry Taylor,Spurs,81,1600
Charlotte Moore,Mavericks,82,1610
Alexander Brown,Celtics,79,1620
Mia Davis,Heat,82,1500
Daniel Johnson,Knicks,80,1580
Sophia Martinez,Warriors,78,1560
Liam Hernandez,Nets,81,1590
Evelyn Lopez,Lakers,79,1540
Benjamin Gonzalez,Bulls,75,1570
Ella Wilson,Heat,82,1550
Logan Anderson,Knicks,80,1600
Harper Thomas,Warriors,82,1630
Sebastian Taylor,Spurs,81,1610
Avery Moore,Mavericks,82,1620
Lucas Brown,Celtics,79,1650
Victoria Davis,Heat,82,1570
Matthew Johnson,Knicks,80,1500
Scarlett Martinez,Warriors,78,1550
Aiden Hernandez,Nets,81,1600
Emma Lopez,Lakers,79,1620
Jackson Gonzalez,Bulls,75,1530
Amelia Wilson,Heat,82,1580
Henry Anderson,Knicks,80,1630
Charlotte Thomas,Warriors,82,1640
Mason Taylor,Spurs,81,1590
Olivia Moore,Mavericks,82,1650
Ethan Brown,Celtics,79,1620
Sophia Davis,Heat,82,1500
William Johnson,Knicks,80,1580
Mia Martinez,Warriors,78,1570
Liam Hernandez,Nets,81,1600
Emily Lopez,Lakers,79,1620
Lucas Gonzalez,Bulls,75,1550
Evelyn Wilson,Heat,82,1560
Aiden Anderson,Knicks,80,1610
Scarlett Thomas,Warriors,82,1620
Logan Taylor,Spurs,81,1650
Ava Moore,Mavericks,82,1600
Benjamin Brown,Celtics,79,1630
Harper Davis,Heat,82,1580
Michael Johnson,Knicks,80,1600
Ella Martinez,Warriors,78,1610
Alexander Hernandez,Nets,81,1620
Isabella Lopez,Lakers,79,1640
James Gonzalez,Bulls,75,1570
Lucas Wilson,Heat,82,1590
Victoria Anderson,Knicks,80,1640
Henry Thomas,Warriors,82,1610
Charlotte Taylor,Spurs,81,1650
Daniel Moore,Mavericks,82,1630
Mia Brown,Celtics,79,1650
Sebastian Davis,Heat,82,1610
Avery Johnson,Knicks,80,1600
William Martinez,Warriors,78,1590
Sophia Hernandez,Nets,81,1600
Emma Lopez,Lakers,79,1620
Liam Gonzalez,Bulls,75,1640
Benjamin Wilson,Heat,82,1620
Emily Anderson,Knicks,80,1620
Michael Thomas,Warriors,82,1650
James Taylor,Spurs,81,1640
Olivia Moore,Mavericks,82,1650
Henry Brown,Celtics,79,1620
Ella Davis,Heat,82,1610
Logan Johnson,Knicks,80,1590
Charlotte Martinez,Warriors,78,1580
Lucas Hernandez,Nets,81,1600
Harper Lopez,Lakers,79,1600
Mia Gonzalez,Bulls,75,1620
Ethan Wilson,Heat,82,1630
Daniel Anderson,Knicks,80,1650
Sophia Thomas,Warriors,82,1600
Aiden Taylor,Spurs,81,1600
Amelia Moore,Mavericks,82,1610
Victoria Brown,Celtics,79,1630
Alexander Davis,Heat,82,1620
Ava Johnson,Knicks,80,1640
Benjamin Martinez,Warriors,78,1640
Henry Hernandez,Nets,81,1610
Emily Lopez,Lakers,79,1630
James Gonzalez,Bulls,75,1600
Isabella Wilson,Heat,82,1650
Sophia Anderson,Knicks,80,1650
Ethan Thomas,Warriors,82,1610
Liam Taylor,Spurs,81,1600
Michael Moore,Mavericks,82,1620
Emma Brown,Celtics,79,1640
Daniel Davis,Heat,82,1630
Ella Johnson,Knicks,80,1650
Mia Martinez,Warriors,78,1650
Lucas Hernandez,Nets,81,1640
Charlotte Lopez,Lakers,79,1650
Scarlett Gonzalez,Bulls,75,1630
James Wilson,Heat,82,1620
Logan Anderson,Knicks,80,1640
Sophia Thomas,Warriors,82,1650
Henry Taylor,Spurs,81,1630
Benjamin Moore,Mavericks,82,1650
Harper Brown,Celtics,79,1640
Olivia Davis,Heat,82,1640
Ethan Johnson,Knicks,80,1640
Michael Martinez,Warriors,78,1640
Victoria Hernandez,Nets,81,1640
Aiden Lopez,Lakers,79,1640
